Methyl (KR), Methyl, Methylation, -r-, KR, +CH2, 14.015650
Oxidation (P), O, Oxidation, -r-, P, +O, 15.994915
Dimethyl (R), Dimethyl, Dimethyl, -r-, R, +C2H4, 28.031300
Trimethyl (R), Trimethyl, tri-Methylation, -r-, R, +H6C3, 42.04695
Trimethyl (K), Trimethyl, tri-Methylation, -r-, K, +H6C3, 42.04695
Crotonyl (K), Crotonyl, Crotonylation, -r-, K, +C4H4O, 68.026215
Hydroxyisobutyryl (K), Hydroxyisobut, Hydroxyisobutyrylation, -r-, K, +C4H6O2, 86.036779
Propionyl (K), Propionyl, Propionylation, -r-, K, +C3H4O, 56.026215
GlyGly (K), GlyGly, Ubiquitination, -r-, K, +C4H6N2O2, 114.042927
Butyryl (K), Butyryl, Butyrylation, -r-, K, +C4H6O, 70.041865
Succinyl (K), Succinyl, Succinylation, -r-, K, +C4H4O3, 100.016044
Malonyl (K), Malonyl, Malonylation, -r-, K, +C3H2O3, 86.000394
Glutaryl (K), Glutaryl, Glutarylation, -r-, K, +C5H6O3, 114.031694
Nitro (Y), Nitro, Nitro, -r-, Y, +NO2-H, 44.985078
Nitro (W), Nitro, Nitro, -r-, W, +NO2-H, 44.985078
Acetaldehyde_26 (HK), Acetald26, Acetald_26, -r-, HK, +C2H2, 26.015650
Acetaldehyde_28 (HK), Acetald28, Acetald_28, -r-, HK, +C2H4, 28.031300
Iron3 (DE), Iron3, Cation:Fe[III], -r-, DE, , 52.911464
